tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,enddate
210,23:22.4,26:52.9,3408,Congress St & Clinton St,40.6881529,-73.99520919,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,41713,Subscriber,1975,2,3/1/2020,3/1/2020
643,23:50.1,34:33.1,472,E 32 St & Park Ave,40.7457121,-73.98194829,482,W 15 St & 7 Ave,40.73935542,-73.99931783,28952,Subscriber,1958,1,3/1/2020,3/1/2020
1986,24:07.2,57:13.7,514,12 Ave & W 40 St,40.76087502,-74.00277668,426,West St & Chambers St,40.71754834,-74.01322069,36323,Customer,1973,1,3/1/2020,3/1/2020
494,24:14.2,32:28.6,3305,E 91 St & 2 Ave,40.7811223,-73.94965589,3725,2 Ave & E 72 St,40.76876203,-73.95840794,33450,Subscriber,1992,1,3/1/2020,3/1/2020
445,25:40.8,33:05.8,3605,31 Ave & Crescent St,40.7658346,-73.9265474,3572,34 Ave & 38 St,40.756913,-73.921631,27835,Subscriber,1993,1,3/1/2020,3/1/2020
744,26:29.3,38:54.0,3513,21 St & Hoyt Ave S,40.774645,-73.923706,3691,28 Ave & 44 St,40.76408932,-73.91065121,34020,Subscriber,1992,1,3/1/2020,3/1/2020
872,35:02.6,49:34.9,435,W 21 St & 6 Ave,40.74173969,-73.99415556,3699,W 50 St & 9 Ave,40.76360468,-73.98917958,28743,Subscriber,1983,1,3/1/2020,3/1/2020
249,37:23.2,41:32.8,513,W 56 St & 10 Ave,40.768254,-73.988639,495,W 47 St & 10 Ave,40.76269882,-73.99301222,18500,Subscriber,2001,1,3/1/2020,3/1/2020
259,37:55.9,42:15.8,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,3697,W 64 St & Thelonious Monk Circle,40.77515953,-73.98918696,32586,Subscriber,1974,1,3/1/2020,3/1/2020
1444,38:14.8,02:18.9,3052,Lewis Ave & Madison St,40.686312,-73.935775,3818,Calyer St & Jewel St,40.72984,-73.94839,28232,Subscriber,1991,1,3/1/2020,3/1/2020
599,40:31.8,50:31.1,3347,Van Brunt St & Wolcott St,40.6773429,-74.01275056,3398,Smith St & 9 St,40.6746957,-73.99785768,35585,Subscriber,1991,1,3/1/2020,3/1/2020
1069,41:00.2,58:49.7,504,1 Ave & E 16 St,40.73221853,-73.98165557,3233,E 48 St & 5 Ave,40.75724568,-73.97805914,17418,Subscriber,1995,2,3/1/2020,3/1/2020
217,42:25.1,46:02.5,489,10 Ave & W 28 St,40.75066386,-74.00176802,453,W 22 St & 8 Ave,40.74475148,-73.99915362,38536,Subscriber,1979,1,3/1/2020,3/1/2020
